type,datalogger_id,alt_height_slope,alt_type,side_andes,height,mean.value,alt.slope,alt.type_height,data.type,mean.value.type,month
temp.min,T_22,high_c_west,high,west,c,17.35569219,high_west,high_c,wild,daily.annual.mean,annual
temp.min,T_23,high_u_west,high,west,u,17.73482432,high_west,high_u,wild,daily.annual.mean,annual
temp.min,T_24,high_c_west,high,west,c,17.62733934,high_west,high_c,wild,daily.annual.mean,annual
temp.min,T_25,high_u_west,high,west,u,17.77522523,high_west,high_u,wild,daily.annual.mean,annual
temp.min,T_26,high_c_west,high,west,c,17.69706306,high_west,high_c,wild,daily.annual.mean,annual
temp.min,T_27,high_u_west,high,west,u,17.98612613,high_west,high_u,wild,daily.annual.mean,annual
temp.min,T_28,high_c_west,high,west,c,17.83205405,high_west,high_c,wild,daily.annual.mean,annual
temp.min,T_29,high_u_west,high,west,u,18.17466366,high_west,high_u,wild,daily.annual.mean,annual
temp.min,T_30,high_c_west,high,west,c,18.15173574,high_west,high_c,wild,daily.annual.mean,annual
temp.min,T_31,low_u_west,low,west,u,21.39096197,low_west,low_u,wild,daily.annual.mean,annual
temp.min,T_32,low_c_west,low,west,c,20.94240991,low_west,low_c,wild,daily.annual.mean,annual
temp.min,T_33,low_u_west,low,west,u,20.98063363,low_west,low_u,wild,daily.annual.mean,annual
temp.min,T_34,low_c_west,low,west,c,20.71928937,low_west,low_c,wild,daily.annual.mean,annual
temp.min,T_35,low_u_west,low,west,u,20.9615146,low_west,low_u,wild,daily.annual.mean,annual
temp.min,T_36,low_c_west,low,west,c,20.72245408,low_west,low_c,wild,daily.annual.mean,annual
temp.min,T_37,low_u_west,low,west,u,21.01326412,low_west,low_u,wild,daily.annual.mean,annual
temp.min,T_38,low_c_west,low,west,c,20.65391298,low_west,low_c,wild,daily.annual.mean,annual
temp.min,T_39,low_u_west,low,west,u,20.8962978,low_west,low_u,wild,daily.annual.mean,annual
temp.min,T_40,low_c_west,low,west,c,20.6642698,low_west,low_c,wild,daily.annual.mean,annual
temp.min,na,high_a_east,high,east,a,14.1,high_east,high_a,worldclim,monthly.logger,m01
temp.min,na,low_a_east,low,east,a,18.9,low_east,low_a,worldclim,monthly.logger,m01
temp.min,na,high_a_east,high,east,a,14.2,high_east,high_a,worldclim,monthly.logger,m02
temp.min,na,low_a_east,low,east,a,18.8,low_east,low_a,worldclim,monthly.logger,m02
temp.min,na,high_a_east,high,east,a,14.2,high_east,high_a,worldclim,monthly.logger,m03
temp.min,na,low_a_east,low,east,a,18.7,low_east,low_a,worldclim,monthly.logger,m03
temp.min,na,high_a_east,high,east,a,14.3,high_east,high_a,worldclim,monthly.logger,m04
temp.min,na,low_a_east,low,east,a,18.8,low_east,low_a,worldclim,monthly.logger,m04
temp.min,na,high_a_east,high,east,a,14.2,high_east,high_a,worldclim,monthly.logger,m05
temp.min,na,low_a_east,low,east,a,18.8,low_east,low_a,worldclim,monthly.logger,m05
temp.min,na,high_a_east,high,east,a,13.7,high_east,high_a,worldclim,monthly.logger,m06
temp.min,na,low_a_east,low,east,a,18.4,low_east,low_a,worldclim,monthly.logger,m06
temp.min,na,high_a_east,high,east,a,13.4,high_east,high_a,worldclim,monthly.logger,m07
temp.min,na,low_a_east,low,east,a,18.2,low_east,low_a,worldclim,monthly.logger,m07
temp.min,na,high_a_east,high,east,a,13.2,high_east,high_a,worldclim,monthly.logger,m08
temp.min,na,low_a_east,low,east,a,18.2,low_east,low_a,worldclim,monthly.logger,m08
temp.min,na,high_a_east,high,east,a,13.7,high_east,high_a,worldclim,monthly.logger,m09
temp.min,na,low_a_east,low,east,a,18.6,low_east,low_a,worldclim,monthly.logger,m09
temp.min,na,high_a_east,high,east,a,14.1,high_east,high_a,worldclim,monthly.logger,m10
temp.min,na,low_a_east,low,east,a,18.8,low_east,low_a,worldclim,monthly.logger,m10
temp.min,na,high_a_east,high,east,a,14.3,high_east,high_a,worldclim,monthly.logger,m11
temp.min,na,low_a_east,low,east,a,19,low_east,low_a,worldclim,monthly.logger,m11
temp.min,na,high_a_east,high,east,a,14.1,high_east,high_a,worldclim,monthly.logger,m12
temp.min,na,low_a_east,low,east,a,19,low_east,low_a,worldclim,monthly.logger,m12
temp.min,na,high_a_west,high,west,a,16.1,high_west,high_a,worldclim,monthly.logger,m01
temp.min,na,low_a_west,low,west,a,19.1,low_west,low_a,worldclim,monthly.logger,m01
temp.min,na,high_a_west,high,west,a,16.1,high_west,high_a,worldclim,monthly.logger,m02
temp.min,na,low_a_west,low,west,a,19.2,low_west,low_a,worldclim,monthly.logger,m02
temp.min,na,high_a_west,high,west,a,16.2,high_west,high_a,worldclim,monthly.logger,m03
temp.min,na,low_a_west,low,west,a,19.4,low_west,low_a,worldclim,monthly.logger,m03
temp.min,na,high_a_west,high,west,a,16.3,high_west,high_a,worldclim,monthly.logger,m04
temp.min,na,low_a_west,low,west,a,19.5,low_west,low_a,worldclim,monthly.logger,m04
temp.min,na,high_a_west,high,west,a,16.2,high_west,high_a,worldclim,monthly.logger,m05
temp.min,na,low_a_west,low,west,a,19.4,low_west,low_a,worldclim,monthly.logger,m05
temp.min,na,high_a_west,high,west,a,15.7,high_west,high_a,worldclim,monthly.logger,m06
temp.min,na,low_a_west,low,west,a,18.9,low_west,low_a,worldclim,monthly.logger,m06
temp.min,na,high_a_west,high,west,a,15.1,high_west,high_a,worldclim,monthly.logger,m07
temp.min,na,low_a_west,low,west,a,18.3,low_west,low_a,worldclim,monthly.logger,m07
temp.min,na,high_a_west,high,west,a,14.9,high_west,high_a,worldclim,monthly.logger,m08
temp.min,na,low_a_west,low,west,a,18.1,low_west,low_a,worldclim,monthly.logger,m08
temp.min,na,high_a_west,high,west,a,15.1,high_west,high_a,worldclim,monthly.logger,m09
temp.min,na,low_a_west,low,west,a,18.2,low_west,low_a,worldclim,monthly.logger,m09
temp.min,na,high_a_west,high,west,a,15.5,high_west,high_a,worldclim,monthly.logger,m10
temp.min,na,low_a_west,low,west,a,18.5,low_west,low_a,worldclim,monthly.logger,m10
temp.min,na,high_a_west,high,west,a,15.2,high_west,high_a,worldclim,monthly.logger,m11
temp.min,na,low_a_west,low,west,a,18.1,low_west,low_a,worldclim,monthly.logger,m11
temp.min,na,high_a_west,high,west,a,15.6,high_west,high_a,worldclim,monthly.logger,m12
temp.min,na,low_a_west,low,west,a,18.7,low_west,low_a,worldclim,monthly.logger,m12
temp.max,na,high_a_east,high,east,a,24.9,high_east,high_a,worldclim,monthly.logger,m01
temp.max,na,low_a_east,low,east,a,28.8,low_east,low_a,worldclim,monthly.logger,m01
temp.max,na,high_a_east,high,east,a,24.8,high_east,high_a,worldclim,monthly.logger,m02
temp.max,na,low_a_east,low,east,a,28.8,low_east,low_a,worldclim,monthly.logger,m02
temp.max,na,high_a_east,high,east,a,24.7,high_east,high_a,worldclim,monthly.logger,m03
temp.max,na,low_a_east,low,east,a,28.6,low_east,low_a,worldclim,monthly.logger,m03
temp.max,na,high_a_east,high,east,a,24.6,high_east,high_a,worldclim,monthly.logger,m04
temp.max,na,low_a_east,low,east,a,28.3,low_east,low_a,worldclim,monthly.logger,m04
temp.max,na,high_a_east,high,east,a,24.6,high_east,high_a,worldclim,monthly.logger,m05
temp.max,na,low_a_east,low,east,a,28,low_east,low_a,worldclim,monthly.logger,m05
temp.max,na,high_a_east,high,east,a,23.9,high_east,high_a,worldclim,monthly.logger,m06
temp.max,na,low_a_east,low,east,a,27.5,low_east,low_a,worldclim,monthly.logger,m06
temp.max,na,high_a_east,high,east,a,23.7,high_east,high_a,worldclim,monthly.logger,m07
temp.max,na,low_a_east,low,east,a,27.5,low_east,low_a,worldclim,monthly.logger,m07
temp.max,na,high_a_east,high,east,a,24.5,high_east,high_a,worldclim,monthly.logger,m08
temp.max,na,low_a_east,low,east,a,28.6,low_east,low_a,worldclim,monthly.logger,m08
temp.max,na,high_a_east,high,east,a,25.3,high_east,high_a,worldclim,monthly.logger,m09
temp.max,na,low_a_east,low,east,a,29.3,low_east,low_a,worldclim,monthly.logger,m09
temp.max,na,high_a_east,high,east,a,25.5,high_east,high_a,worldclim,monthly.logger,m10
temp.max,na,low_a_east,low,east,a,29.3,low_east,low_a,worldclim,monthly.logger,m10
temp.max,na,high_a_east,high,east,a,25.5,high_east,high_a,worldclim,monthly.logger,m11
temp.max,na,low_a_east,low,east,a,29.1,low_east,low_a,worldclim,monthly.logger,m11
temp.max,na,high_a_east,high,east,a,25.2,high_east,high_a,worldclim,monthly.logger,m12
temp.max,na,low_a_east,low,east,a,29.3,low_east,low_a,worldclim,monthly.logger,m12
temp.max,na,high_a_west,high,west,a,24.5,high_west,high_a,worldclim,monthly.logger,m01
temp.max,na,low_a_west,low,west,a,27.4,low_west,low_a,worldclim,monthly.logger,m01
temp.max,na,high_a_west,high,west,a,24.8,high_west,high_a,worldclim,monthly.logger,m02
temp.max,na,low_a_west,low,west,a,27.9,low_west,low_a,worldclim,monthly.logger,m02
temp.max,na,high_a_west,high,west,a,25.1,high_west,high_a,worldclim,monthly.logger,m03
temp.max,na,low_a_west,low,west,a,28.4,low_west,low_a,worldclim,monthly.logger,m03
temp.max,na,high_a_west,high,west,a,25.4,high_west,high_a,worldclim,monthly.logger,m04
temp.max,na,low_a_west,low,west,a,28.5,low_west,low_a,worldclim,monthly.logger,m04
temp.max,na,high_a_west,high,west,a,25.2,high_west,high_a,worldclim,monthly.logger,m05
temp.max,na,low_a_west,low,west,a,28,low_west,low_a,worldclim,monthly.logger,m05
temp.max,na,high_a_west,high,west,a,24.8,high_west,high_a,worldclim,monthly.logger,m06
temp.max,na,low_a_west,low,west,a,27.1,low_west,low_a,worldclim,monthly.logger,m06
temp.max,na,high_a_west,high,west,a,24.8,high_west,high_a,worldclim,monthly.logger,m07
temp.max,na,low_a_west,low,west,a,27,low_west,low_a,worldclim,monthly.logger,m07
temp.max,na,high_a_west,high,west,a,25.1,high_west,high_a,worldclim,monthly.logger,m08
temp.max,na,low_a_west,low,west,a,27.1,low_west,low_a,worldclim,monthly.logger,m08
temp.max,na,high_a_west,high,west,a,25,high_west,high_a,worldclim,monthly.logger,m09
temp.max,na,low_a_west,low,west,a,27.1,low_west,low_a,worldclim,monthly.logger,m09
temp.max,na,high_a_west,high,west,a,24.5,high_west,high_a,worldclim,monthly.logger,m10
temp.max,na,low_a_west,low,west,a,26.9,low_west,low_a,worldclim,monthly.logger,m10
temp.max,na,high_a_west,high,west,a,24.1,high_west,high_a,worldclim,monthly.logger,m11
temp.max,na,low_a_west,low,west,a,26.6,low_west,low_a,worldclim,monthly.logger,m11
temp.max,na,high_a_west,high,west,a,24.1,high_west,high_a,worldclim,monthly.logger,m12
temp.max,na,low_a_west,low,west,a,26.9,low_west,low_a,worldclim,monthly.logger,m12
temp.mean,na,high_a_east,high,east,a,19.5,high_east,high_a,worldclim,monthly.logger,m01
temp.mean,na,low_a_east,low,east,a,23.8,low_east,low_a,worldclim,monthly.logger,m01
temp.mean,na,high_a_east,high,east,a,19.5,high_east,high_a,worldclim,monthly.logger,m02
temp.mean,na,low_a_east,low,east,a,23.8,low_east,low_a,worldclim,monthly.logger,m02
temp.mean,na,high_a_east,high,east,a,19.4,high_east,high_a,worldclim,monthly.logger,m03
temp.mean,na,low_a_east,low,east,a,23.6,low_east,low_a,worldclim,monthly.logger,m03
temp.mean,na,high_a_east,high,east,a,19.4,high_east,high_a,worldclim,monthly.logger,m04
temp.mean,na,low_a_east,low,east,a,23.5,low_east,low_a,worldclim,monthly.logger,m04
temp.mean,na,high_a_east,high,east,a,19.4,high_east,high_a,worldclim,monthly.logger,m05
temp.mean,na,low_a_east,low,east,a,23.4,low_east,low_a,worldclim,monthly.logger,m05
temp.mean,na,high_a_east,high,east,a,18.8,high_east,high_a,worldclim,monthly.logger,m06
temp.mean,na,low_a_east,low,east,a,22.9,low_east,low_a,worldclim,monthly.logger,m06
temp.mean,na,high_a_east,high,east,a,18.5,high_east,high_a,worldclim,monthly.logger,m07
temp.mean,na,low_a_east,low,east,a,22.8,low_east,low_a,worldclim,monthly.logger,m07
temp.mean,na,high_a_east,high,east,a,18.8,high_east,high_a,worldclim,monthly.logger,m08
temp.mean,na,low_a_east,low,east,a,23.4,low_east,low_a,worldclim,monthly.logger,m08
temp.mean,na,high_a_east,high,east,a,19.5,high_east,high_a,worldclim,monthly.logger,m09
temp.mean,na,low_a_east,low,east,a,23.9,low_east,low_a,worldclim,monthly.logger,m09
temp.mean,na,high_a_east,high,east,a,19.8,high_east,high_a,worldclim,monthly.logger,m10
temp.mean,na,low_a_east,low,east,a,24,low_east,low_a,worldclim,monthly.logger,m10
temp.mean,na,high_a_east,high,east,a,19.9,high_east,high_a,worldclim,monthly.logger,m11
temp.mean,na,low_a_east,low,east,a,24,low_east,low_a,worldclim,monthly.logger,m11
temp.mean,na,high_a_east,high,east,a,19.6,high_east,high_a,worldclim,monthly.logger,m12
temp.mean,na,low_a_east,low,east,a,24.1,low_east,low_a,worldclim,monthly.logger,m12
temp.mean,na,high_a_west,high,west,a,20.3,high_west,high_a,worldclim,monthly.logger,m01
temp.mean,na,low_a_west,low,west,a,23.2,low_west,low_a,worldclim,monthly.logger,m01
temp.mean,na,high_a_west,high,west,a,20.4,high_west,high_a,worldclim,monthly.logger,m02
temp.mean,na,low_a_west,low,west,a,23.5,low_west,low_a,worldclim,monthly.logger,m02
temp.mean,na,high_a_west,high,west,a,20.6,high_west,high_a,worldclim,monthly.logger,m03
temp.mean,na,low_a_west,low,west,a,23.9,low_west,low_a,worldclim,monthly.logger,m03
temp.mean,na,high_a_west,high,west,a,20.8,high_west,high_a,worldclim,monthly.logger,m04
temp.mean,na,low_a_west,low,west,a,24,low_west,low_a,worldclim,monthly.logger,m04
temp.mean,na,high_a_west,high,west,a,20.7,high_west,high_a,worldclim,monthly.logger,m05
temp.mean,na,low_a_west,low,west,a,23.7,low_west,low_a,worldclim,monthly.logger,m05
temp.mean,na,high_a_west,high,west,a,20.2,high_west,high_a,worldclim,monthly.logger,m06
temp.mean,na,low_a_west,low,west,a,23,low_west,low_a,worldclim,monthly.logger,m06
temp.mean,na,high_a_west,high,west,a,19.9,high_west,high_a,worldclim,monthly.logger,m07
temp.mean,na,low_a_west,low,west,a,22.6,low_west,low_a,worldclim,monthly.logger,m07
temp.mean,na,high_a_west,high,west,a,20,high_west,high_a,worldclim,monthly.logger,m08
temp.mean,na,low_a_west,low,west,a,22.6,low_west,low_a,worldclim,monthly.logger,m08
temp.mean,na,high_a_west,high,west,a,20,high_west,high_a,worldclim,monthly.logger,m09
temp.mean,na,low_a_west,low,west,a,22.6,low_west,low_a,worldclim,monthly.logger,m09
temp.mean,na,high_a_west,high,west,a,20,high_west,high_a,worldclim,monthly.logger,m10
temp.mean,na,low_a_west,low,west,a,22.7,low_west,low_a,worldclim,monthly.logger,m10
temp.mean,na,high_a_west,high,west,a,19.6,high_west,high_a,worldclim,monthly.logger,m11
temp.mean,na,low_a_west,low,west,a,22.3,low_west,low_a,worldclim,monthly.logger,m11
temp.mean,na,high_a_west,high,west,a,19.8,high_west,high_a,worldclim,monthly.logger,m12
temp.mean,na,low_a_west,low,west,a,22.8,low_west,low_a,worldclim,monthly.logger,m12